,company_name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,industry
0,TCS,3.9,(47k Reviews),Public,"Mumbai,Maharashtra + 267 more",54 years old,1 Lakh+ Employees (India),BPO / Call Centre
1,Accenture,4.2,(31.2k Reviews),Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India),IT Services & Consulting
2,Cognizant,3.9,(28.4k Reviews),Private,Teaneck. New Jersey. + 93 more,28 years old,1 Lakh+ Employees (India),IT Services & Consulting
3,ICICI Bank,4,(33.8k Reviews),Public,"Mumbai,Maharashtra + 1021 more",28 years old,1 Lakh+ Employees (India),Financial Services
4,HDFC Bank,4,(38.2k Reviews),Public,"Mumbai,Maharashtra + 1172 more",28 years old,1 Lakh+ Employees (India),Financial Services
5,Wipro,3.9,(27.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",77 years old,1 Lakh+ Employees (India),IT Services & Consulting
6,Infosys,3.9,(27k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India),IT Services & Consulting
7,Capgemini,3.9,(23k Reviews),Public,Paris + 76 more,55 years old,1 Lakh+ Employees (India),Internet
8,Tech Mahindra,3.8,(20.9k Reviews),Public,"Pune,Maharashtra + 209 more",36 years old,50k-1 Lakh Employees (India),Consulting
9,Genpact,4,(20.3k Reviews),Public,"New York,New York + 65 more",25 years old,50k-1 Lakh Employees (India),IT Services & Consulting
10,HCL Technologies,3.9,(17.5k Reviews),Public,"Noida,Uttar Pradesh + 138 more",31 years old,1 Lakh+ Employees (India),Financial Services
11,Axis Bank,3.9,(18.4k Reviews),Public,"Mumbai,Maharashtra + 1046 more",29 years old,1 Lakh+ Employees (India),Financial Services
12,Amazon,4.2,(16.9k Reviews),Public,"Seattle,Washington + 351 more",28 years old,1 Lakh+ Employees (India),Internet
13,IBM,4.2,(20.8k Reviews),Public,"Armonk,New York + 115 more",111 years old,1 Lakh+ Employees (India),BPO/KPO
14,Concentrix Corpo...,4.1,(14.9k Reviews),Public,"Fremont,California + 67 more",39 years old,10k-50k Employees (India),BPO/KPO
15,Larsen & Toubro ...,4.1,(24k Reviews),Public,"Mumbai,Maharashtra + 514 more",84 years old,10k-50k Employees (India),Industrial Equipment / Machinery
16,Reliance jio,4,(14.4k Reviews),Public,"Navi Mumbai,Maharashtra + 939 more",15 years old,50k-1 Lakh Employees (India),Telecom / ISP
17,Vodafone Idea,4.2,(13.7k Reviews),Public,"Gandhinagar,Gujrat + 557 more",4 years old,10k-50k Employees (India),Telecom / ISP
18,HDB Financial Se...,4,(12.9k Reviews),Private,"Ahmedabad,Gujrat + 750 more",15 years old,1 Lakh+ Employees (India),Financial Services
19,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 119 more,44 years old,50k-1 Lakh Employees (India),BPO / Call Centre
20,Kotak Mahindra B...,3.9,(13.3k Reviews),Public,"Mumbai,Maharashtra + 466 more",19 years old,50k-1 Lakh Employees (India),Financial Services
21,Reliance Industr...,4.1,(41.6k Reviews),Public,"Navi Mumbai,Maharashtra + 460 more",49 years old,1 Lakh+ Employees (India),Manufacturing
22,Bharti Airtel,4.1,(12.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 493 more",27 years old,10k-50k Employees (India),Telecom / ISP
23,Deloitte,4.1,(9.9k Reviews),Private,"New York,New York + 130 more",177 years old,50k-1 Lakh Employees (India),Consulting
24,Tata Motors,4,(12.1k Reviews),Public,"Pune,Maharashtra + 381 more",77 years old,10k-50k Employees (India),Automobile
25,Reliance Retail,4.1,(14.6k Reviews),Private,"Navi Mumbai,Maharashtra + 604 more",16 years old,1 Lakh+ Employees (India),Gems & Jewellery
26,WNS,3.7,(6.8k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India),BPO/KPO
27,Mahindra & Mahin...,3.9,(38.2k Reviews),Public,"Mumbai,Maharashtra + 404 more",77 years old,1 Lakh+ Employees (India),Automobile
28,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 540 more",28 years old,10k-50k Employees (India),Financial Services
29,Flipkart,4.2,(10.8k Reviews),Public,"Bangalore,Karnataka + 417 more",15 years old,50k-1 Lakh Employees (India),Internet
30,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 56 more",5 years old,10k-50k Employees (India),IT Services & Consulting
31,Hinduja Global S...,4,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,10k-50k Employees (India),BPO / Call Centre
32,BYJU'S,3.6,(10.6k Reviews),Private,"Bangalore,Karnataka + 175 more",11 years old,1k-5k Employees (India),Internet
33,Ernst & Young,3.8,(5.9k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India),Consulting
34,Maruti Suzuki,4.1,(5.8k Reviews),Public,"New Delhi,Delhi + 372 more",39 years old,10k-50k Employees (India),Automobile
35,Infosys BPM,4,(5.6k Reviews),"Bangalore/Bengaluru,Karnataka + 46 more",20 years old,10k-50k Employees (India),,BPO/KPO
36,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India),Financial Services
37,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 130 more",146 years old,10k-50k Employees (India),Internet
38,Bajaj Finserv,4.1,(5.1k Reviews),Public,"Pune,Maharashtra + 645 more",15 years old,10k-50k Employees (India),FinTech / Payments
39,IDFC FIRST Bank,4,(5k Reviews),Public,"Mumbai,Maharashtra + 370 more",4 years old,10k-50k Employees (India),Financial Services
40,Conneqt Business...,3.7,(5k Reviews),Private,"Mumbai,Maharashtra + 151 more",20 years old,10k-50k Employees (India),BPO/KPO
41,Dr. Reddy's,4.2,(4.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 129 more",36 years old,10k-50k Employees (India),Clinical Research / Contract Research
42,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 49 more",5 years old,5k-10k Employees (India),BPO/KPO
43,Mphasis,3.8,(4.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 40 more",24 years old,10k-50k Employees (India),Hardware & Networking
44,Sutherland Globa...,3.9,(5k Reviews),Private,"Pittsford,New York + 39 more",36 years old,10k-50k Employees (India),Facility Management Services
45,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 184 more",87 years old,10k-50k Employees (India),Manufacturing
46,Jana Small Finan...,3.9,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 305 more",16 years old,10k-50k Employees (India),Banking
47,Yes Bank,4,(4.5k Reviews),Public,"Mumbai,Maharashtra + 353 more",18 years old,10k-50k Employees (India),Financial Services
48,Asian Paints,4.3,(4.7k Reviews),Public,"Mumbai,Maharashtra + 333 more",80 years old,10k-50k Employees (India),Chemicals / Agri Inputs
49,ICICI Prudential...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 395 more",22 years old,10k-50k Employees (India),Financial Services
50,HCL Group,3.9,(23.5k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,,IT Services & Consulting
51,NTT DATA,4,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 38 more",34 years old,10k-50k Employees (India),IT Services & Consulting
52,Udaan,4.1,(4.2k Reviews),Private,"Bangalore,Karnataka + 293 more",6 years old,1k-5k Employees (India),Consumer goods
53,Indian Army,4.7,(4.1k Reviews),Public,"New Delhi,Delhi + 263 more",127 years old,1 Lakh+ Employees (India),Defence & Aerospace
54,HDFC Life,4,(5.4k Reviews),Public,"Mumbai,Maharashtra + 398 more",22 years old,10k-50k Employees (India),Financial Services
55,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 28 more",23 years old,10k-50k Employees (India),BPO/KPO
56,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 101 more,10 years old,5k-10k Employees (India),NBFC
57,L&T Infotech,3.9,(3.9k Reviews),Public,"Mumbai,Maharashtra + 76 more",26 years old,10k-50k Employees (India),IT Services & Consulting
58,PwC,3.8,(3.9k Reviews),Partnership,London + 60 more,24 years old,10k-50k Employees (India),Consulting
59,Lupin,4.1,(3.9k Reviews),Public,"Mumbai,Maharashtra + 120 more",54 years old,10k-50k Employees (India),Biotech & Life sciences
60,UltraTech Cement,4.3,(4.4k Reviews),Public,"Mumbai,Maharashtra + 326 more",39 years old,10k-50k Employees (India),Building Material
61,Bajaj Finance,4.1,(4.2k Reviews),Private,"Pune,Maharashtra + 593 more",35 years old,10k-50k Employees (India),Financial Services
62,Hindustan Unilev...,4.3,(4.3k Reviews),Public,"Mumbai,Maharashtra + 345 more",89 years old,10k-50k Employees (India),FMCG
63,ITC,3.9,(7.1k Reviews),Public,"Kolkata,West Bengal + 223 more",47 years old,10k-50k Employees (India),FMCG
64,Ujjivan Small Fi...,4.1,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 375 more",5 years old,10k-50k Employees (India),Financial Services
65,Zydus Cadila,4.2,(4.6k Reviews),Public,"Ahmedabad, India + 119 more",70 years old,10k-50k Employees (India),Biotech & Life sciences
66,Paytm,3.8,(4.2k Reviews),Public,Noida + 228 more,12 years old,10k-50k Employees (India),Advertising / PR / Events
67,OPPO,4,(3.8k Reviews),Public,"Dongguan,Guangdong + 312 more",18 years old,10k-50k Employees (India),Manufacturing
68,KPMG,3.8,(3.7k Reviews),Partnership,Bengaluru/Bangalore + 50 more,35 years old,10k-50k Employees (Global),Consulting
69,Mindtree,4.1,(3.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 25 more",23 years old,10k-50k Employees (India),BPO/KPO
70,IIFL,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 464 more",27 years old,10k-50k Employees (India),Financial Services
71,Shapoorji Pallon...,4.3,(6.7k Reviews),Private,"Mumbai,Maharashtra + 136 more",157 years old,5k-10k Employees (India),Power
72,JP Morgan Chase,4.2,(3.5k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India),Financial Services
73,Shriram Transpor...,4.2,(3.8k Reviews),Public,"Mumbai,Maharashtra + 646 more",43 years old,10k-50k Employees (India),NBFC
74,Ashok Leyland,4.1,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 183 more",74 years old,10k-50k Employees (India),Automobile
75,Sun Pharmaceutic...,4.1,(3.9k Reviews),Public,Mumbai + 145 more,39 years old,10k-50k Employees (India),Analytics / KPO / Research
76,Vivo,4.1,(3.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 323 more",13 years old,5k-10k Employees (India),Consumer goods
77,Mahindra & Mahin...,4.3,(4.9k Reviews),Public,"Mumbai,Maharashtra + 547 more",31 years old,10k-50k Employees (India),Financial Services
78,Aurobindo Pharma,4.1,(3.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,10k-50k Employees (India),Biotechnology
79,Wells Fargo Indi...,4.2,(3.3k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India),Financial Services
80,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India),BPO / Call Centre
81,Fidelity Nationa...,4.1,(3.4k Reviews),Private,"Jacksonville,Florida + 31 more",54 years old,10k-50k Employees (India),FinTech / Payments
82,Apollo Hospitals,4.1,(5.3k Reviews),Public,"San Francisco,California + 161 more",39 years old,50k-1 Lakh Employees (India),Medical Services / Hospital
83,Hewlett-Packard ...,4.4,(3.6k Reviews),Private,"Houston,Texas + 87 more",7 years old,10k-50k Employees (India),Internet
84,Bandhan Bank,3.9,(3.3k Reviews),Public,"Kolkata,West Bengal + 521 more",21 years old,50k-1 Lakh Employees (India),Financial Services
85,Reliance Communi...,4,(4k Reviews),Public,"Navi Mumbai,Maharashtra + 364 more",20 years old,10k-50k Employees (India),Telecom / ISP
86,Siemens,4.2,(4.8k Reviews),Public,"Munich,Bavaria + 103 more",175 years old,10k-50k Employees (India),Internet
87,Future Group,4.2,(10.2k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India),FMCG
88,Nokia,4.2,(4.5k Reviews),Private,"Espoo,Southern Finland + 168 more",157 years old,10k-50k Employees (India),Manufacturing
89,Delhivery,4.2,(3.5k Reviews),Private,"Delhi,NCT + 451 more",11 years old,10k-50k Employees (India),Internet
90,iEnergizer,3.9,(3.2k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India),BPO/KPO
91,eClerx,3.7,(3.1k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India),IT Services & Consulting
92,Max Life Insuran...,4.2,(3.1k Reviews),JV,"Gurgaon/Gurugram,Haryana + 282 more",22 years old,10k-50k Employees (India),Consumer goods
93,AU Small Finance...,4,(4.1k Reviews),Private,"Jaipur,Rajasthan + 281 more",26 years old,10k-50k Employees (India),Banking
94,First Source,3.9,(3k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,10k-50k Employees (India),BPO/KPO
95,Oracle,3.9,(3.8k Reviews),Public,"Austin,Texas + 30 more",45 years old,50k-1 Lakh Employees (India),Internet
96,TVS Motor,4.2,(4.4k Reviews),Public,"Chennai,Tamil Nadu + 237 more",43 years old,10k-50k Employees (India),Automobile
97,Hero MotoCorp,4.2,(3.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 260 more",38 years old,5k-10k Employees (India),Automobile
98,Oyo Rooms,3.5,(3.2k Reviews),Private,"Gurgaon,Haryana + 103 more",9 years old,1k-5k Employees (India),Internet
99,Tata Projects,4.2,(3k Reviews),Public,"Mumbai,Maharashtra + 188 more",43 years old,10k-50k Employees (India),Engineering & Construction
100,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),,BPO/KPO
101,Hexaware Technol...,3.7,(3k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India),BPO/KPO
102,TATA Steel,4.1,(4.6k Reviews),Public,"Mumbai,Maharashtra + 121 more",115 years old,10k-50k Employees (India),Iron & Steel
103,JSW Steel,3.9,(3.2k Reviews),Public,"Mumbai,Maharashtra + 91 more",40 years old,10k-50k Employees (India),Iron & Steel
104,JLL,4.3,(2.9k Reviews),Private,"Mumbai,Maharashtra + 57 more",25 years old,10k-50k Employees (India),Real Estate
105,Cyient,3.7,(2.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",31 years old,10k-50k Employees (India),Manufacturing
106,Hyundai Motor,4.2,(3.9k Reviews),Private,Seoul + 219 more,55 years old,10k-50k Employees (India),Automobile
107,Bosch,4.2,(6.2k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 84 more",136 years old,10k-50k Employees (India),Industrial Equipment / Machinery
108,JustDial,3.5,(2.8k Reviews),Public,"Mumbai,Maharashtra + 122 more",26 years old,10k-50k Employees (India),Internet
109,Bajaj Allianz Li...,4.1,(2.8k Reviews),Private,Pune + 395 more,21 years old,10k-50k Employees (India),Financial Services
110,Quess,3.9,(8.7k Reviews),Public,Bangalore + 324 more,15 years old,10k-50k Employees (India),BPO/KPO
111,Atos Syntel,3.7,(4.5k Reviews),Private,"Troy,Michigan + 15 more",42 years old,10k-50k Employees (India),IT Services & Consulting
112,Samsung,4,(7.4k Reviews),Public,Seoul + 347 more,84 years old,10k-50k Employees (India),Consumer goods
113,Megha Engineerin...,4.2,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 192 more",33 years old,1k-5k Employees (India),Engineering & Construction
114,Manappuram Finan...,4,(3.3k Reviews),Public,"Thrissur/Trichur,Kerala + 384 more",73 years old,10k-50k Employees (India),Financial Services
115,L&T Construction,4.2,(3.5k Reviews),Public,Chennai + 258 more,78 years old,10k-50k Employees (India),Engineering & Construction
116,Omega Healthcare,3.8,(2.6k Reviews),Private,Florida + 27 more,18 years old,5k-10k Employees (India),IT Services & Consulting
117,Viatris,4.3,(2.6k Reviews),"Canonsburg,Pennsylvania + 61 more",61 years old,10k-50k Employees (India),,Manufacturing
118,BNY Mellon,4.2,(2.6k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India),Investment Banking / Venture Capital / Private Equity
119,SBI Cards & Paym...,3.8,(2.5k Reviews),Government,"Gurgaon/Gurugram,Haryana + 236 more",24 years old,10k-50k Employees (India),Financial Services
120,D Mart,4,(2.5k Reviews),Private,"Mumbai,Maharashtra + 157 more",22 years old,10k-50k Employees (India),Retail
121,Fullerton India,4.2,(2.5k Reviews),Private,Mumbai + 392 more,15 years old,10k-50k Employees (India),NBFC
122,Aditya Birla Fas...,4.3,(3.2k Reviews),Private,Mumbai + 192 more,7 years old,10k-50k Employees (India),Textile & Apparel
123,Cummins,4.3,(3.1k Reviews),"Columbus,Indiana + 80 more",60 years old,10k-50k Employees (India),,Automobile
124,UnitedHealth,4.2,(4.4k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India),Medical Services / Hospital
125,Godrej & Boyce M...,3.9,(2.8k Reviews),Private,"Mumbai,Maharashtra + 115 more",125 years old,10k-50k Employees (India),FMCG
126,IQVIA,4.2,(2.5k Reviews),Partnership,Durham + 37 more,40 years old,10k-50k Employees (India),Internet
127,CBRE,4.3,(2.4k Reviews),Private,"Los Angeles,California + 51 more",116 years old,10k-50k Employees (India),Real Estate
128,Dominos Pizza,4.1,(2.4k Reviews),Public,"Ypsilanti,Michigan + 203 more",62 years old,1k-5k Employees (India),FMCG
129,Royal Enfield,4.2,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 233 more",121 years old,1k-5k Employees (India),Automobile
130,Equitas Small Fi...,4.2,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 286 more",15 years old,10k-50k Employees (India),Financial Services
131,Bajaj Auto,4,(2.4k Reviews),Public,"Pune,Maharashtra + 207 more",77 years old,5k-10k Employees (India),Automobile
132,Nagarjuna Constr...,4.1,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 177 more",24 years old,1k-5k Employees (India),Engineering & Construction
133,Axis Direct,4,(2.4k Reviews),Private,"San Mateo,California + 263 more",11 years old,1k-5k Employees (India),Financial Services
134,JBM Group,4,(2.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 72 more",39 years old,10k-50k Employees (India),Industrial Equipment / Machinery
135,State Bank of In...,3.9,(4.8k Reviews),"Mumbai,Maharashtra + 336 more",216 years old,1 Lakh+ Employees (India),,Financial Services
136,Nagarro,4.5,(2.4k Reviews),Private,"Munich,Bavaria + 29 more",26 years old,10k-50k Employees (India),Emerging Technologies
137,Wipro Consumer ...,3.9,(29.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 72 more",77 years old,1k-5k Employees (India),Consumer goods
138,ICICI Lombard Ge...,3.9,(2.3k Reviews),Public,"Mumbai,Maharashtra + 195 more",21 years old,10k-50k Employees (India),Financial Services
139,Wipro Infotech,4,(2.3k Reviews),Private,Bangalore + 114 more,77 years old,1 Lakh+ Employees (Global),IT Services & Consulting
140,Tata Communicati...,4.2,(3.1k Reviews),Public,"Mumbai,Maharashtra + 88 more",36 years old,10k-50k Employees (India),Telecom / ISP
141,Schneider Electr...,4.2,(3.8k Reviews),Private,Paris + 77 more,23 years old,10k-50k Employees (India),Architecture / Interior Design
142,Amdocs,4.1,(2.3k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India),Internet
143,Bosch Global Sof...,4.2,(2.3k Reviews),Private,Gerlingen + 21 more,32 years old,10k-50k Employees (India),Engineering & Construction
144,UST,4.1,(2.4k Reviews),Private,"Aliso Viejo,California + 31 more",21 years old,10k-50k Employees (India),IT Services & Consulting
145,Muthoot Fincorp,4,(2.3k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 419 more",135 years old,10k-50k Employees (India),Financial Services
146,Ford Motor,4.5,(2.7k Reviews),Public,"Dearborn,Michigan + 102 more",119 years old,10k-50k Employees (India),Automobile
147,Indiamart Interm...,3.8,(2.3k Reviews),Private,"Noida,Uttar Pradesh + 105 more",26 years old,10k-50k Employees (India),Internet
148,Dell,4.2,(3.6k Reviews),Private,"Round Rock,Texas + 82 more",38 years old,10k-50k Employees (India),Internet
149,Flex,4.2,(2.2k Reviews),Private,San Jose + 35 more,53 years old,10k-50k Employees (India),Manufacturing
150,Whitehat jr,3.8,(2.2k Reviews),Private,"Mumbai,Maharashtra + 43 more",4 years old,5k-10k Employees (India),Internet
151,Ecom Express,4.2,(2.2k Reviews),Private,"Gurgaon,Haryana + 464 more",10 years old,10k-50k Employees (India),Internet
152,BigBasket,4.1,(2.3k Reviews),Private,"Bangalore,Karnataka + 76 more",11 years old,5k-10k Employees (India),Internet
153,John Deere,4.4,(2.4k Reviews),Private,"Moline,Illinois + 98 more",21 years old,5k-10k Employees (India),Automobile
154,LG Electronics,4.1,(2.3k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,10k-50k Employees (India),Consumer goods
155,Motherson Sumi S...,3.8,(3.6k Reviews),Public,"Noida,Uttar Pradesh + 60 more",36 years old,5k-10k Employees (India),Automobile
156,Hetero Drugs,4,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",29 years old,1k-5k Employees (India),Clinical Research / Contract Research
157,L&T Financial Se...,4,(2.2k Reviews),Public,"Mumbai,Maharashtra + 378 more",28 years old,10k-50k Employees (India),Financial Services
158,SBI Life Insuran...,3.9,(2.2k Reviews),Government,"Mumbai,Maharashtra + 411 more",21 years old,10k-50k Employees (India),Financial Services
159,Sodexo,4.1,(2.3k Reviews),Private,Issy Les Moulineaux + 107 more,14 years old,5k-10k Employees (India),Food Processing
160,KEC Internationa...,4.2,(2.2k Reviews),Public,"Mumbai,Maharashtra + 202 more",77 years old,5k-10k Employees (India),Industrial Equipment / Machinery
161,Cholamandalam In...,4.2,(2.2k Reviews),Private,"Chennai,Tamil Nadu + 473 more",44 years old,5k-10k Employees (India),Financial Services
162,GlobalLogic,4,(2.1k Reviews),Private,"San Jose,California + 24 more",22 years old,1k-5k Employees (India),Engineering & Construction
163,Abbott Healthcar...,4.1,(4.2k Reviews),Public,"Illinois City,Illinois + 144 more",31 years old,10k-50k Employees (India),Healthcare / Pharma
164,Capgemini Techno...,4.1,(2.1k Reviews),Bengaluru/Bangalore + 23 more,,,,
165,Subros,4,(2.1k Reviews),Public,"Noida,Uttar Pradesh + 33 more",37 years old,1k-5k Employees (India),Automobile
166,Thermax,4.2,(2.3k Reviews),Public,"Pune,Maharashtra + 123 more",42 years old,1k-5k Employees (India),Industrial Equipment / Machinery
167,Hindustan Coca C...,4.4,(2.1k Reviews),Private,Bangalore + 164 more,25 years old,5k-10k Employees (India),Food Processing
168,Intas Pharmaceut...,4.3,(2.1k Reviews),Private,"Ahmedabad,Gujrat + 97 more",22 years old,10k-50k Employees (India),Biotech & Life sciences
169,Muthoot Finance,3.6,(2.1k Reviews),Public,"Kochi/Cochin,Kerala + 390 more",83 years old,10k-50k Employees (India),NBFC
170,Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 121 more",98 years old,1k-5k Employees (India),Metals & Mining
171,Automatic Data P...,4.2,(2k Reviews),New Jersey + 9 more,73 years old,1k-5k Employees (India),,Consulting
172,Wipro Enterprise...,3.9,(31.9k Reviews),Bangalore + 63 more,77 years old,1 Lakh+ Employees (India),,IT Services & Consulting
173,Muthoot Group,3.7,(4.5k Reviews),Public,"Wedel,Schleswig-holstein + 323 more",135 years old,1k-5k Employees (India),Internet
174,VE Commercial Ve...,4,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India),Automobile
175,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 142 more",10 years old,5k-10k Employees (India),Logistics / Shipping
176,Varun Beverages,4,(2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 187 more",27 years old,10k-50k Employees (India),Food Processing
177,Atos,3.9,(7.7k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India),IT Services & Consulting
178,Arvind Group,4.1,(2.4k Reviews),Public,"Ahmedabad,Gujrat + 127 more",91 years old,10k-50k Employees (India),Manufacturing
179,Virtusa Consulti...,3.8,(2.1k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India),IT Services & Consulting
180,NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 18 more,10k-50k Employees (India),,Financial Services
181,Optum,4.1,(2k Reviews),Private,Minnesota + 19 more,45 years old,10k-50k Employees (India),Medical Services / Hospital
182,Macleods Pharmac...,4,(2k Reviews),Public,"Mumbai,Maharashtra + 74 more",36 years old,5k-10k Employees (India),Biotech & Life sciences
183,Swiggy,4.1,(2.2k Reviews),Private,"Bangalore,Karnataka + 134 more",8 years old,10k-50k Employees (India),Internet
184,Indian Air Force,4.6,(2k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India),Defence & Aerospace
185,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 54 more",31 years old,5k-10k Employees (India),Retail
186,American Express,4.4,(2k Reviews),Private,"New York City,New York + 33 more",172 years old,10k-50k Employees (India),Financial Services
187,Alembic Pharmace...,4.1,(2k Reviews),Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,10k-50k Employees (India),Real Estate
188,Cgi Group,4.2,(2k Reviews),Private,"Montreal,Quebec + 13 more",46 years old,10k-50k Employees (India),IT Services & Consulting
189,Bel,4.2,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 32 more",68 years old,5k-10k Employees (India),Airlines / Aviation / Aerospace
190,Randstad,4.1,(2k Reviews),Private,"Chennai,Tamil Nadu + 198 more",30 years old,1k-5k Employees (India),Recruitment / Staffing
191,CMS IT Services,3.2,(1.9k Reviews),Private,"Bangalore,Karnataka + 115 more",8 years old,5k-10k Employees (India),Internet
192,Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 84 more",27 years old,5k-10k Employees (India),Internet
193,Glenmark Pharmac...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 109 more",45 years old,10k-50k Employees (India),Pharmaceutical & Life Sciences
194,DTDC Express,4,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 184 more",32 years old,5k-10k Employees (India),Logistics / Shipping
195,ABB Group,4.1,(1.9k Reviews),Public,Zurich + 84 more,21 years old,10k-50k Employees (India),Manufacturing
196,Alkem Laboratori...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 117 more",49 years old,10k-50k Employees (India),Biotechnology
197,Deutsche Bank,4.3,(2.1k Reviews),Private,Frankfurt + 28 more,152 years old,10k-50k Employees (India),Financial Services
198,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 119 more",67 years old,5k-10k Employees (India),Retail
199,Honda Motorcycle...,4.2,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 167 more",23 years old,1k-5k Employees (India),Automobile
200,Pidilite Industr...,4.4,(2k Reviews),Public,"Mumbai,Maharashtra + 171 more",63 years old,5k-10k Employees (India),Consumer goods
201,DCB Bank,4,(1.9k Reviews),Private,"Mumbai,Maharashtra + 242 more",92 years old,5k-10k Employees (India),Financial Services
202,Havells,4.2,(2.1k Reviews),Public,"Noida,Uttar Pradesh + 120 more",39 years old,5k-10k Employees (India),Manufacturing
203,Piramal Capital ...,4.3,(1.9k Reviews),Mumbai + 218 more,4 years old,1k-5k Employees (India),,Financial Services
204,Lava Internation...,4.2,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 198 more",13 years old,1k-5k Employees (India),Internet
